name,translation
common_voice_as_22074896.mp3,"Then Bol and Hare caught the sun to understand it better, and the sun agreed. "
common_voice_as_22074926.mp3,"Instead of research, he showed interest in spending money on other productive projects."
common_voice_as_22074928.mp3,She planted a flower tree with great care. 
common_voice_as_22074931.mp3,"The country's munih, tirota, young, gavru, adhiya, old, rich, poor all have to move forward. "
common_voice_as_22074935.mp3,It was almost three months later.
common_voice_as_22074937.mp3,"Brother also said I am a brother, I am also a cowherd in the village. "
common_voice_as_22074939.mp3,At once Deodha said the coach in his mind. 
common_voice_as_22074941.mp3,I went to see Dahi Handi that day on the occasion of Janmashtami.
common_voice_as_22074942.mp3,There is no limit to how much Narai imagines.
common_voice_as_22074980.mp3,There was a word in people's mouths.
common_voice_as_22074985.mp3,"While eating fish all the time, the surroundings of the rock were filled with fish thorns."
common_voice_as_22074987.mp3,The demon guru Shukracharya was addicted to drinking liquor.
common_voice_as_22074989.mp3,The quarter is packed with baher jaura.
common_voice_as_22074990.mp3,When will you sit for the clothes you wear for most of your time in these activities?
common_voice_as_22075080.mp3,"Nerim College is located in Jayanagar, Chariali. "
common_voice_as_22075084.mp3,"It also includes  films made in other local languages, such as Bodo, Karbi, etc. "
common_voice_as_22075087.mp3,No one can blame if you don't get angry but run away now. 
common_voice_as_22075095.mp3,What happened to the wedding?
common_voice_as_22075101.mp3,The size of the plains of Majuli is like that of a rocky fruit.
common_voice_as_22075203.mp3,The events of the actions of that political party are gathered here.
common_voice_as_22075208.mp3,"At night everyone was eaten, the two men started singing from their bedrooms. "
common_voice_as_22075210.mp3,"Good morning, did you have tea?"
common_voice_as_22075211.mp3,The cracked bamboo should not be folded as well as it is forced.
common_voice_as_22075212.mp3,This region is occupied by the Muslim rulers of Gujarat.
common_voice_as_22075291.mp3,Where are your eyes going?
common_voice_as_22075293.mp3,The state of Gujarat is made up of the Gujarati-speaking regions of Bombay state. 
common_voice_as_22075294.mp3,Two or three Bihu drums are playing in Miri village. 
common_voice_as_22075297.mp3,Today I spent some time with two prominent personalities in Jorhat.
common_voice_as_22075301.mp3,I will work for four months in the monsoon and bury the soil.
common_voice_as_22075385.mp3,You don't have to do anything.
common_voice_as_22075387.mp3,There were only two deep wells in the state.
common_voice_as_22075388.mp3,Devraj Indra had been resisting the attempt by creating rain.
common_voice_as_22075389.mp3,Their contribution to social life has sparked new surprises.
common_voice_as_22075390.mp3,People cross the Brahmaputra river by ferry.
common_voice_as_22075509.mp3,But no one was able to catch up.
common_voice_as_22075512.mp3,"After rubbing her back, Lagi started rubbing Elagi's back."
common_voice_as_22075513.mp3,By which it can be thrown at a very high speed.
common_voice_as_22075515.mp3,The miris break that hub.
common_voice_as_22075517.mp3,I was surprised to not see the wedding house again.
common_voice_as_22076579.mp3,"Saud reached home and asked his sister-in-law- ""Where has Tejimala gone?"""
common_voice_as_22076582.mp3,The city has been home to the headquarters of the country's major economic institutions for decades.
common_voice_as_22076584.mp3,There is no reason for you to be afraid.
common_voice_as_22076586.mp3,He was accompanied by another quaker called Finnish Fletcher.
common_voice_as_22076589.mp3,The number of new ones is also low to take away the land from the old ones.
common_voice_as_22076836.mp3,There was a big tree in that hub.
common_voice_as_22076838.mp3,"Seeing that, all the tigers rushed."
common_voice_as_22076840.mp3,"When the money was cleared, other people couldn't understand what the money was all about. "
common_voice_as_22076842.mp3,Baneshwar Barua's daughter's name is Lavita.
common_voice_as_22076845.mp3,He can now express only one thing in front of that friend.
common_voice_as_22076933.mp3,"With the help of money, he will be able to teach the almighty scholar well."
common_voice_as_22076939.mp3,These things were heard with a loud heart.
common_voice_as_22076946.mp3,"Today, all the countries  and continents of the east west are burning in this worldwide great war."
common_voice_as_22076952.mp3,Dad brought the boy to his quarters. 
common_voice_as_22076957.mp3,"My country will be my own, I have no other country. "
common_voice_as_22077031.mp3,"George said, ""You don't die, we won't let you die."" """
common_voice_as_22077037.mp3,The verses in the Qur'an are called 'Shura' and the verses are called  'Ayats'. 
common_voice_as_22077045.mp3,Don't leave it in the water and eat it gently on a rock on the bank of the beel.
common_voice_as_22077053.mp3,"The noise, the chaos of the people comes closer. "
common_voice_as_22077062.mp3,"From that day onwards, he has not taken any food to his mouth."
common_voice_as_22077139.mp3,"Available on Android, Windows and Mac platforms. "
common_voice_as_22077142.mp3,I know with me too. 
common_voice_as_22077145.mp3,His forehead swells too.
common_voice_as_22077149.mp3,And a lot of films have won national respect.
common_voice_as_22077152.mp3,"Why don't you bring a bottle of water like me from home?"""
common_voice_as_22077280.mp3,I bought asopaman narji flowers from the nearby flower shop and gave it to the body. 
common_voice_as_22077284.mp3,"Ganeshguri, Beltala, Panjabari, Jatiya, Kahilipara etc. in South Guwahati. "
common_voice_as_22077287.mp3,"In  the end, it happened that he could not catch a single duck or goat. "
common_voice_as_22077291.mp3,"The next morning, they went to keep the cows as per the rules. "
common_voice_as_22077297.mp3,It's nice to spend some time with the elderly people.
common_voice_as_22077416.mp3,How will you fight with me?
common_voice_as_22077418.mp3,He somehow went ahead of time and adjusted to the path as he might not get a motor.
common_voice_as_22077419.mp3,That's why I want to be with them.
common_voice_as_22078853.mp3,Mahagauri is the name of the eighth shakti of Maa Durgadevi. 
common_voice_as_22078858.mp3,"When I see these babajis, I get angry."
common_voice_as_22078864.mp3,"Taking the paper out of his pocket, he sees that it is written in capital letters."
common_voice_as_22078870.mp3,I swore before you today that I would give it to her before you.
common_voice_as_22078876.mp3,Mecca is the capital of the Makah region of the country.
common_voice_as_22079044.mp3,But babaji did not stop until he could see it with his eyes.
common_voice_as_22079046.mp3,That's the knowledge you should learn before you.
common_voice_as_22079049.mp3,"  He returned home that day, giving the burden of collecting soft rice, jaggery, tamole, paan. "
common_voice_as_22079056.mp3,Guwahati is connected to almost all the airports in the country.
common_voice_as_22079062.mp3,Teja had put on a jute cloth on her way to her father's house and left it on a little bamboo.
common_voice_as_22079160.mp3,Four thousand BC.
common_voice_as_22079163.mp3,Dudhnai is located on the eastern edge of Goalpara district.
common_voice_as_22079168.mp3,The lock was broken in conjunction with the uncle of the house next door.
common_voice_as_22079170.mp3,The mother asked Marie to drink the tea water. 
common_voice_as_22079175.mp3,Nitou sits under the two trees and talks to Jeera while going to graze cows.
common_voice_as_22079293.mp3,There are only two or three stars in the sky. 
common_voice_as_22079300.mp3,"When it comes to people, each other's ears grew wider. "
common_voice_as_22079304.mp3,I bought you for your good.
common_voice_as_22079308.mp3,I know it's good that it's not.
common_voice_as_22079311.mp3,Also since I have received punarjanam from the womb of your father.
common_voice_as_22079433.mp3,"Listening to Eliza's sweet voice, he left cooking and looked at Eliza."
common_voice_as_22079437.mp3,The geographical boundaries of the Greater Bombay Revenue District and the Greater Bombay Municipal Corporation were the same at this time.
common_voice_as_22079442.mp3,Dad puts a white dhoti in the window net a little late at night.
common_voice_as_22079450.mp3,"He used to feed, but day in and day out, he did not want to see the cellu. "
common_voice_as_22079459.mp3,That is why today we are also going to wake up the country and inspire the country. 
common_voice_as_22079577.mp3,I am unable to read the following lines as a result of not seeing well after three rows of twists from above.
common_voice_as_22079579.mp3,His father helped him who is a scientist.
common_voice_as_22079581.mp3,His history of being a quaker is also very sweet.
common_voice_as_22079584.mp3,"There is no sleep in the eyes, he does not want to talk to people. "
common_voice_as_22079585.mp3,He has healed Tom a lot by giving him a lot of medicines.
common_voice_as_22079666.mp3,It was as sharp as he was in pretending to be. 
common_voice_as_22079667.mp3,All of them belong to Guwahati.
common_voice_as_22079668.mp3,There was a lot of romance between the day and two. 
common_voice_as_22079670.mp3,"Similarly, a subdivision is divided into several police circles."
common_voice_as_22079672.mp3,"After that, the great man washed his hands and feet and got up. "
common_voice_as_22079741.mp3,That's when he sees a Babaji coming from Ali.
common_voice_as_22079742.mp3,"Seeing that he wants to try for you, he needs our opinion tomorrow morning. "
common_voice_as_22079743.mp3,How long will it take to reach Tezpur?
common_voice_as_22079745.mp3,"But, stop!  The story is not over yet. "
common_voice_as_22079748.mp3,He has thrown a leaf out of his hand and he is only talking.
common_voice_as_22079781.mp3,"He has had this disease since childhood, he boils occasionally. "
common_voice_as_22079782.mp3,In this way the dog spent a year together with the lion in the same pit.
common_voice_as_22079783.mp3,"The jackfruit is wiped away, I have come. "
common_voice_as_22079784.mp3,Do you run away when I find out I'm coming?
common_voice_as_22079785.mp3,Asked the committee to cut yarn that day
common_voice_as_22079828.mp3,Kani-Muni is dark at the time of the incident. 
common_voice_as_22079831.mp3,Let's say this dream now
common_voice_as_22079833.mp3,"Looking at the appearance of both of them, the women of the village speak occasionally. "
common_voice_as_22079834.mp3,"Bhudhar asked- ""Oh father!  When did you come?"""
common_voice_as_22079835.mp3,Everyone enjoyed the fun.
common_voice_as_22079945.mp3,"He thought, ""I leave the house. """
common_voice_as_22079952.mp3,Dishonest people give shelter to evil deeds.
common_voice_as_22079956.mp3,She is the best dancer among the Miri cows.
common_voice_as_22079960.mp3,"If you don't have money, how can you cure the patient or the patient by bringing bad medicines?"
common_voice_as_22079964.mp3,"In that year, kala guru Vishnu Rabha came to the annual convention of the Dergaon Alok Shilpi Samaj."
common_voice_as_22080062.mp3,Mizoram state to the south and southeast and Karimganj district to the west. 
common_voice_as_22080065.mp3,"Guwahati Municipal Corporation is responsible for the management, development and management of the city. "
common_voice_as_22080067.mp3,"Watch the rang-tamsa, industrial and agricultural exhibitions."
common_voice_as_22080069.mp3,"""Oh,  why is Vekuli Obli Tortorab?"""
common_voice_as_22080070.mp3,Pitambar stays at home and watches the fields on time. 
common_voice_as_22080133.mp3,He called for using mother India for independence.
common_voice_as_22080136.mp3,He said this to Tamed with a frown in his mind. 
common_voice_as_22080139.mp3,"You see, I didn't get a single penny for the whole lot of the house."
common_voice_as_22080142.mp3,"In six years, he deposited eight hundred rupees despite all the expenses."
common_voice_as_22080144.mp3,"By resisting this, they finally reached The Kingdom of Naga."
common_voice_as_22080239.mp3,"If he had looked as well as you, he would have called out the smaller lines alternately. "
common_voice_as_22080240.mp3,"Tezpur  is a very charming city in terms of art, culture, literature and natural resources. "
common_voice_as_22080242.mp3,And i took the nissan from the hands of the fallen girl.
common_voice_as_22080243.mp3,"That's when the king, the hand of the hand, looked up. "
common_voice_as_22080244.mp3,"If you search for this pin behind the bar, you will get your cow. "
common_voice_as_22080306.mp3,Dad is very juicy and a man who can easily get along with people.
common_voice_as_22080309.mp3,Bega started going towards Shilghat.
common_voice_as_22080311.mp3,There is not a single passenger in the compartment.
common_voice_as_22080314.mp3,The remembrance or worship of Ganesha before all actions is auspicious and auspicious.
common_voice_as_22080315.mp3,The lack of visual stimulation caused the eyes to stop seeing as the glasses were not used properly.
common_voice_as_22080419.mp3,The people inside the cage are very sad today.
common_voice_as_22080424.mp3,"Hey, why don't you practice bringing a pen with you when you come to the bank?"
common_voice_as_22080427.mp3,"In shame, he got up from before and went to the river ghat to fetch water with a pitcher next to him."
common_voice_as_22080429.mp3,You will not get the credence of the artificial words of educated people in the world.
common_voice_as_22080434.mp3,The others walked towards the cotton plantations in Legri. 
common_voice_as_22080513.mp3,The Subansiri river first flows east and south-east and enters India. 
common_voice_as_22080517.mp3,He was supposed to inform me a week ago.
common_voice_as_22080523.mp3,She occasionally sings a pair of wild songs and smiles at the dog.
common_voice_as_22080840.mp3,Though Bhadra is seventy years old and there is no one to enjoy wealth when his eyes are closed. 
common_voice_as_22080845.mp3,"Bolo then said to them, ""Don't go, stay here. """
common_voice_as_22081019.mp3,It is only in a healthy body that the mind is strong and attention can be paid to studies when the mind is strong.
common_voice_as_22081024.mp3,"A Babaji dressed in saffron robes with his head, a trishul in his hand. "
common_voice_as_22081027.mp3,Five minutes later Pandit went and greeted the shareman.
common_voice_as_22081031.mp3,Or five of them are having fun getting out of the water.
common_voice_as_22081035.mp3,He became a very stumbling man when he got the total and burned it in the fire.
common_voice_as_22081123.mp3,"Respect the parents, the guru. "
common_voice_as_22081130.mp3,He plays with a boy nearby and helps his mother at work too. 
common_voice_as_22081136.mp3,We don't need to lie back there.
common_voice_as_22081146.mp3,"Bhupen Hazarika's ""Autorickshaw drives we are two brothers"""
common_voice_as_22081151.mp3,"Eleven days into the wedding, he suddenly developed a fever. "
common_voice_as_22081237.mp3,Is anyone's sore throat?
common_voice_as_22081243.mp3,His same son Maniram is a good boy in the village. 
common_voice_as_22081247.mp3,Their hopes of getting him at this word of theirs were a bit damp. 
common_voice_as_22081254.mp3,There is a lot of commotion in the distance after the volunteer finishes singing the entire song.
common_voice_as_22081259.mp3,The drum-opening is over. 
common_voice_as_22083655.mp3,Will higher secondary and matriculation results be given on the same day?
common_voice_as_22083656.mp3,The birds are crawling on the leaves of this tree.
common_voice_as_22083657.mp3,What have you done about these things?
common_voice_as_22083658.mp3,So it can be built according to his own will.
common_voice_as_22083659.mp3,Somehow the danger is to fall on fire or water when there is no one nearby.
common_voice_as_22083702.mp3,"Nearby,  a puppy was stumbling around the ducks. "
common_voice_as_22083703.mp3,Dad's tension began. 
common_voice_as_22083705.mp3,"The land is uneven with mountains and hills, so its name is Assam. "
common_voice_as_22083706.mp3,"Like humans, their nature is as sensitive as that of humans."
common_voice_as_22083707.mp3,"If I have any work for the rest of the months,  I will report it, then I will do it. "
common_voice_as_22083769.mp3,The city bus service in Guwahati is very convenient.
common_voice_as_22083771.mp3,"Kakuti  pleaded to search for ""Kas, why didn't he come.""  "
common_voice_as_22083772.mp3,"It was known as ""Pragjyotishpur""  in ancient times. "
common_voice_as_22083774.mp3,"The board has not stopped you to work in the field, but only to do school work. "
common_voice_as_22083775.mp3,Veeradatta Nawe-Gaane Veeradatta. 
common_voice_as_22083886.mp3,They don't have any other land other than the foundation of their most-share house. 
common_voice_as_22083887.mp3,Do you know any other language other than Assamese?
common_voice_as_22083888.mp3,It was only when deka was thirty-five years old and was earning that he tried to get married. 
common_voice_as_22083890.mp3,Arjun then covers the sky of the entire Khandava forest with autumn.
common_voice_as_22083891.mp3,Two men came home.
common_voice_as_22084002.mp3,She knew that Junkie would go and find his girlfriend again.
common_voice_as_22084003.mp3,"Showing Ruth, he shook his hand and asked everyone's message."
common_voice_as_22084005.mp3,"About a year later, my parents and Bapu were on their way to their father's house in Pathshala by train."
common_voice_as_22084006.mp3,"When the adaptation was completed, all the rallies along with Dayaram proceeded to the daughter's house. "
common_voice_as_22084007.mp3,Care has also been taken to give a glimpse of how to be inspired in a new way. 
common_voice_as_22084055.mp3,Who is that girl?
common_voice_as_22084058.mp3,The symbolic consonant introduces Jyotiprasad's artistic sense of thought.
common_voice_as_22084060.mp3,"You can't come today, another day there will be a good day when the home will be burnt. "
common_voice_as_22084061.mp3,"In this way, Shalikati came flying and fell a short distance away and started calling."
common_voice_as_22084062.mp3,"The district is bounded on the east by Golaghat district, on the west by Nagaon district and Hojai district. "
common_voice_as_22084102.mp3,My nailpolis will get worse.
common_voice_as_22084103.mp3,Where did this water go?  Is it wasted?   Not damaged
common_voice_as_22084105.mp3,He also expressed his desire to be a lifelong companion with Kasa.
common_voice_as_22084106.mp3,That's why I can also spend two or four rupees if needed.
common_voice_as_22084107.mp3,Nearby ruley and moina were wrapped in a gold jar on the roof of the house.
common_voice_as_22084180.mp3,Hali failed again. 
common_voice_as_22084182.mp3,Daksha blames Shiva for creating distrust between Sati and him.
common_voice_as_22084183.mp3,The old one protested in response to this
common_voice_as_22084184.mp3,It will rain now.
common_voice_as_22084185.mp3,"You are going to run away by making  fun of me, fulfilling your own interests, making me a laughing stock. "
common_voice_as_22084217.mp3,"This time for six to seven months, he had to travel far for business. "
common_voice_as_22084218.mp3,There are many ways to reduce pollution.
common_voice_as_22084219.mp3,Dad broke the glass and opened the shawl he was wearing.
common_voice_as_22084220.mp3,Legree opened Tom's para.
common_voice_as_22084221.mp3,Bolo is the daughter-in-law. 
common_voice_as_22084291.mp3,"In this way, Lovita's father Baneshwar Barua came in a hurry with a load on his shoulder."
common_voice_as_22084294.mp3,Can't they even inform me of such an incident?
common_voice_as_22084295.mp3,"As soon as devyani's request was heard, he went out of the ashram to bring flowers. "
common_voice_as_22084298.mp3,A KTM Duke bike was stolen.
common_voice_as_22084302.mp3,"Hearing everything, nana started expressing various opinions."
common_voice_as_22084545.mp3,I won't keep this life if I don't get you.
common_voice_as_22084546.mp3,Sit under the tree and take some rest.
common_voice_as_22084548.mp3,The lion shivers around with his roar
common_voice_as_22084549.mp3,It's hard to understand it with our small energy.
common_voice_as_22084550.mp3,"We boys, but we couldn't easily get that bundle around."
common_voice_as_22085169.mp3,"""There is another very wicked tiger in my kingdom"""
common_voice_as_22085170.mp3,"And carrying Sati's body on his shoulders, the world began to wander."
common_voice_as_22085171.mp3,What the police or again want.
common_voice_as_22085174.mp3,Now the wedding has to be held on the same day.
common_voice_as_22085177.mp3,"In the past, both of them looked at their faces but did not feel the expression of the face. "
common_voice_as_22152172.mp3,He will not be able to exercise authority over Cheniram if the money is recovered. 
common_voice_as_22152178.mp3,"Daroga said, ""Why are you afraid of lies?"""
common_voice_as_22152181.mp3,Here is the simplicity shown in the character of the assamese ordinary young man-dekri.
common_voice_as_22152186.mp3,"You got up earlier than me, so one part of you is two parts of me. "
common_voice_as_22152187.mp3,This was known to the giants.
common_voice_as_22152244.mp3,Guwahati's geography and demography have changed considerably in the last decades.
common_voice_as_22152245.mp3,But that bad habit will make it hard to hold you back like an iron chain.
common_voice_as_22152246.mp3,The second Assamese film 'Indramalati' is also donated by Jyotiprasad. 
common_voice_as_22152247.mp3,"One thing to keep in mind, cheating the doctor can make a mistake in making a diagnosis. "
common_voice_as_22152248.mp3,He immediately gave one or two tamoles. 
common_voice_as_22152318.mp3,The chief Meluhan scientist who becomes a good friend of Shiva.
common_voice_as_22152320.mp3,It is not wrong that time does not stand in one place the same way.
common_voice_as_22152321.mp3,The gateman has also given them the news after a lot of enquiry.
common_voice_as_22152322.mp3,The kids were unable to work as they used to because they got tattooed. 
common_voice_as_22152325.mp3,"With the help of computer graphics, make-up was done against creating the snake. "
common_voice_as_22152402.mp3,Both of them start running from a particular place.
common_voice_as_22152405.mp3,Bapu and dad talked for a long time.
common_voice_as_22152406.mp3,"In the past, both of them looked at their faces but did not feel the expression of the face. "
common_voice_as_22152408.mp3,"When you talk about dushar-esha, you get the utmost satisfaction in the mind. "
common_voice_as_22152410.mp3,What a great love!
common_voice_as_22152477.mp3,Her unwavering devotion to her husband.
common_voice_as_22152478.mp3,Then where do you eat from if you don't have the money?
common_voice_as_22152479.mp3,"The man was Sati's first son, Ganesh."
common_voice_as_22152480.mp3,"Turning upside down, Bhudhar called the relatives and relatives, including Harnath. "
common_voice_as_22152481.mp3,He swam to the other side.
common_voice_as_22152522.mp3,Narai immediately knelt down and served Babaji.
common_voice_as_22152523.mp3," It would be better to play on a laptop, desktop or tablet device. "
common_voice_as_22152524.mp3,But we didn't understand how much pain they would suffer when they punished us.
common_voice_as_22152525.mp3,He's baru somal kenny!  No one has sinned. 
common_voice_as_22152526.mp3,It took the day by talking in different ways and running around once. 
common_voice_as_22152572.mp3,I fell asleep when I heard it.
common_voice_as_22152573.mp3,"On the way, Bolo said- ""He left the door in a lie!"""
common_voice_as_22152575.mp3,Saving some money for future dangers
common_voice_as_22152577.mp3,"Even if he can't give, it'll cut,  and the king will cut even if he says he's not sarbazan. "
common_voice_as_22152579.mp3,"So eat one-third of the batter, and the one who wakes up later will get to eat two parts. "
common_voice_as_22152588.mp3,"In the middle of the lobby, the people went a little further and got up to Ali. "
common_voice_as_22152593.mp3,Run away by telling whoever comes in a simple soul.
common_voice_as_22152594.mp3,And why should everyone learn him earlier than vidya?
common_voice_as_22152599.mp3,"By borrowing the money, the scriptures- all the water had wiped out the doorak's straw. "
common_voice_as_22152602.mp3,Dad!  Get away from it or you'll have to go home to Kasari. 
common_voice_as_22152613.mp3,It has come to Raj-Ali.
,
